"","date","league_id","league","team1","team2","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","score1","score2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2"
"1","2022-11-26",1908,"FIFA World Cup","Tunisia","Australia",66.48,58.65,0.3883,0.2894,0.3223,1.16,0.96,0,1,0.89,0.5,1.3,0.65,0,1.05
"2","2022-11-28",1908,"FIFA World Cup","Cameroon","Serbia",63.62,74.55,0.2444,0.4575,0.2981,0.94,1.39,3,3,0.91,1.2,0.85,1.95,3.15,3.15
"3","2022-11-29",1908,"FIFA World Cup","Netherlands","Qatar",84.38,48.46,0.7768,0.0696,0.1536,2.6,0.65,2,0,1.36,0.19,1.06,0.45,2.1,0
"4","2022-11-21",1908,"FIFA World Cup","USA","Wales",74.83,65.58,0.4489,0.2591,0.292,1.42,1.01,1,1,0.33,1.78,0.48,0.95,1.05,1.05
"5","2022-12-10",1908,"FIFA World Cup","Morocco","Portugal",74.45,87.92,0.3185,0.6815,0,0.83,1.46,1,0,0.57,1.11,0.67,1.32,1.05,0
"6","2022-12-04",1908,"FIFA World Cup","England","Senegal",86.97,75.47,0.6814,0.3186,0,1.47,0.83,3,0,0.87,1.09,0.97,0.62,3.15,0
"7","2022-11-26",1908,"FIFA World Cup","France","Denmark",89.25,78.87,0.5064,0.2192,0.2744,1.6,0.96,2,1,2.06,0.5,2.3,0.7,2.1,1.05
"8","2022-12-09",1908,"FIFA World Cup","Croatia","Brazil",78.99,93.47,0.2264,0.7736,0,0.68,1.72,1,1,0.62,1.9,1.1,2.74,1.05,1.05
"9","2022-11-27",1908,"FIFA World Cup","Belgium","Morocco",80.54,74.67,0.407,0.3057,0.2873,1.41,1.18,0,2,0.88,0.48,0.91,0.42,0,1.58
"10","2022-12-05",1908,"FIFA World Cup","Brazil","South Korea",92.9,69.4,0.8261,0.1739,0,1.89,0.58,4,1,2.96,0.67,1.56,0.69,4.2,1.05
"11","2022-12-14",1908,"FIFA World Cup","France","Morocco",87.72,75.13,0.6646,0.3354,0,1.38,0.82,2,0,1.4,0.79,1.43,0.7,1.87,0
"12","2022-11-21",1908,"FIFA World Cup","England","Iran",85.96,62.17,0.6274,0.1187,0.2539,1.7,0.58,6,2,1.04,1.45,1.5,0.32,5.78,2.1
"13","2022-11-22",1908,"FIFA World Cup","Mexico","Poland",74.3,68.28,0.4238,0.2802,0.296,1.37,1.06,0,0,0.45,1.02,1.19,0.49,0,0
"14","2022-11-23",1908,"FIFA World Cup","Morocco","Croatia",75.62,78.84,0.3176,0.3898,0.2926,1.18,1.34,0,0,0.28,0.88,0.54,0.64,0,0
"15","2022-12-02",1908,"FIFA World Cup","Ghana","Uruguay",60.5,79.28,0.1564,0.5669,0.2766,0.68,1.57,0,2,1.35,1.12,0.73,1.44,0,2.1
